
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
 91  -0.234053 0.0455535         1.5314    -0.874788,  -0.484506      0.0246401 0.0159753  0.0288151,  0.0452233       0.147504    {-3.33196,-1.84542}, 
 92  -0.212498 0.0574918        1.48537    -0.487181,   0.873301      0.0309862 0.0215548  0.0119383,  0.0460301       0.125996    {-1.37641,2.46729}, 
 93  -0.197402 0.0304315        1.44106    -0.873879,  -0.486144       0.026481 0.0150959  0.0270603,  0.0443121       0.131455    {-3.06881,-1.7072}, 
 94  -0.174261 0.0433051        1.39563    -0.487981,   0.872854      0.0293025 0.0231412  0.0128736,  0.0454295       0.104136    {-1.44667,2.58766}, 
 95  -0.159962 0.0177283        1.35169    -0.873676,  -0.486508       0.028988 0.0142991  0.0255768,  0.0439401       0.112951    {-2.82281,-1.57188}, 
 96  -0.134636 0.0318312        1.30618    -0.487712,   0.873005      0.0279704 0.0253261  0.0141029,   0.045509      0.0820946    {-1.53123,2.7409}, 
 97  -0.1209940.00741297        1.26185    -0.873374,   -0.48705      0.0325356 0.0136415  0.0244182,   0.044329      0.0910281    {-2.59174,-1.44532}, 
 98 -0.0925783 0.0232594         1.2153    -0.487717,   0.873002      0.0269527 0.0284158  0.0158465,   0.046547      0.0597537    {-1.64122,2.93773}, 
 99  -0.079433-0.000270335        1.16951    -0.874084,  -0.485776      0.0381185 0.0131453  0.0235298,  0.0457979      0.0644435    {-2.36793,-1.31599}, 
100 -0.0461143 0.0182467        1.12034    -0.486419,   0.873726      0.0264209 0.0333187   0.018517,  0.0491641      0.0365603    {-1.79488,3.22403}, 
101 -0.0332626-0.00483795        1.07117      -0.8747,  -0.484665      0.0482525 0.0128517  0.0230846,  0.0491759      0.0304172    {-2.14562,-1.18887}, 
102 0.00894379 0.0185483         1.0163    -0.484945,   0.874544      0.0266754 0.0422064  0.0233863,  0.0548648      0.0116443    {-2.04818,3.69367}, 
103  0.0218799-0.00478045       0.959485     -0.87598,  -0.482348       0.586704 0.0129361  0.0233288,  0.0568155     -0.0164912    {-1.91021,-1.05184}, 
104    0.53582  0.278215       0.223363     0.481526,  -0.876432      0.0051777  0.513941   0.282996,   0.736122     0.00883884    {0.9767,-1.7777}, 
105   0.533327  0.282753       0.218067    -0.862311,  -0.506379      0.0168602 0.0024932  0.0045379, 0.00529584      -0.376065    {-0.57388,-0.337003}, 
106   0.547866  0.291291       0.212287     0.505458,  -0.862851     0.00506264 0.0145388 0.00853768, 0.00578066      0.0157872    {1.03881,-1.77331}, 
107   0.545307  0.295659       0.207035     -0.84539,  -0.534149      0.01811370.00255896 0.00436831, 0.00525176       -0.38198    {-0.538388,-0.340174}, 
108    0.56062  0.305334       0.201084     0.533582,  -0.845748     0.00503084 0.0153132 0.00967544, 0.00595099      0.0249642    {1.13066,-1.79214}, 
109   0.557936  0.309589       0.195711    -0.828509,  -0.559976      0.01934870.00268437 0.00425483, 0.00537318      -0.388027    {-0.504006,-0.34065}, 
110   0.573966  0.320424       0.189629     0.559626,  -0.828745     0.00497939 0.0160306  0.0108348, 0.00608194      0.0335818    {1.2173,-1.80269}, 
111    0.57118  0.324551       0.184174     -0.81104,  -0.584991      0.02068080.00278659 0.00412664, 0.00545456      -0.394164    {-0.470206,-0.339153}, 
112   0.587953  0.336649       0.177955     0.584353,    -0.8115     0.00492793  0.016773  0.0120981, 0.00621966      0.0419558    {1.30189,-1.80795}, 
113   0.585073  0.340648       0.172441    -0.798218,  -0.602369       0.0208380.00287965 0.00399901, 0.00551383      -0.400838    {-0.440698,-0.33257}, 
114   0.601706    0.3532       0.166471     0.601737,  -0.798694     0.00470996 0.0166333  0.0125522, 0.00596952      0.0471046    {1.33363,-1.77014}, 
115   0.598872  0.356962       0.161188    -0.763175,  -0.646192      0.02797040.00283416 0.00376182, 0.00528349      -0.405206    {-0.39831,-0.337255}, 
116   0.620219  0.375036       0.153517     0.645995,  -0.763342      0.0051141 0.0213463  0.0180742, 0.00767036      0.0663137    {1.63078,-1.92702}, 
117   0.616915   0.37894       0.147025    -0.738753,  -0.673976      0.03177240.00330368 0.00390381, 0.00649288      -0.412496    {-0.360442,-0.328837}, 
118   0.640387  0.400354       0.138812     0.673697,  -0.739008      0.0051141 0.0234719  0.0214138, 0.00821289      0.0772332    {1.77615,-1.94833}, 
119   0.636941  0.404133       0.132055    -0.724544,  -0.689229      0.03079180.00344535 0.00377936, 0.00675633      -0.421831    {-0.328294,-0.312292}, 
120   0.659252  0.425356       0.124679     0.688903,  -0.724853     0.00476141   0.02231  0.0212226, 0.00737665       0.081723    {1.75957,-1.85139}, 
121   0.655971  0.428807       0.118578     -0.70521,  -0.708998      0.03269280.00328015 0.00345133,  0.0061005      -0.429794    {-0.296706,-0.298299}, 
122   0.679027  0.451986       0.111289     0.708865,  -0.705344     0.00457525 0.0230553  0.0231792, 0.00728939      0.0895151    {1.82731,-1.81823}, 
123   0.675783  0.455213       0.105332    -0.649365,  -0.760477      0.06408940.00324323 0.00322712, 0.00595629      -0.432559    {-0.251055,-0.294013}, 
124   0.717401  0.503952      0.0913376     0.760446,  -0.649402     0.00542284 0.0416174  0.0487385,  0.0139948       0.116308    {2.50881,-2.14246}, 
125   0.713277  0.507473      0.0823767    -0.622063,  -0.782967      0.06576440.00412377  0.0035216, 0.00896098      -0.448462    {-0.205128,-0.258187}, 
126   0.754187  0.558965      0.0700929       0.7829,  -0.622147     0.00479322 0.0409096  0.0514913,  0.0122838       0.125181    {2.47473,-1.96659}, 
127   0.750434  0.561947      0.0624282    -0.495771,  -0.868453        0.497140.00375261 0.00298209, 0.00766464      -0.443902    {-0.137536,-0.240925}, 
128   0.996902   0.99369    1.11226e-05     0.867373,  -0.497659          1e-05  0.246468   0.431743,  0.0624171       0.153751    {0.043042,-0.0246955}, 

Eps: 1e-05
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
  1         10        10         810081     0.998752, -0.0499351         13.281         0          0,          0       0.626607    {360018,-18000}, 
  2   -3.26444   10.6632        18.1898    0.0716154,   0.997432     0.00308125   13.2644   0.663189,     810063       0.856015    {0.0948372,1.32086}, 
  3   -3.26466   10.6601        18.1878    -0.997412,  0.0718919    0.0006975920.000220665 0.00307334, 0.00204269        0.33111    {-5.7998,0.41804}, 
  4   -3.26397   10.6601        18.1858    0.0502213,   0.998738     0.003742670.0006957865.01512e-05, 0.00203796       0.862875    {0.0662007,1.31652}, 
  5   -3.26416   10.6563        18.1833    -0.998731,  0.0503578    0.0007649480.000187962 0.00373795, 0.00246842       0.312608    {-6.41627,0.32352}, 
  6   -3.26339   10.6563        18.1808    0.0336102,   0.999435     0.004420880.0007639783.85211e-05, 0.00246531        0.86791    {0.0441617,1.3132}, 
  7   -3.26354   10.6519        18.1779    -0.999433,  0.0336821    0.0008243550.000148586 0.00441838,  0.0029055       0.298211    {-6.98958,0.235557}, 
  8   -3.26272   10.6518         18.175  -0.00554678,   0.999985     0.007020840.000823887 2.7766e-05, 0.00290332        0.87887    {-0.00724078,1.30538}, 
  9   -3.26268   10.6448        18.1704    -0.999985,-0.00542399     0.001034383.8943e-05 0.00702073, 0.00458632       0.264133    {-8.83817,-0.0479389}, 
 10   -3.26164   10.6448        18.1658   -0.0185793,   0.999827     0.008435120.001034365.61044e-06,  0.0045792       0.882165    {-0.0242108,1.30288}, 
 11   -3.26149   10.6364        18.1603    -0.999829, -0.0185039      0.00113050.000156719 0.00843367, 0.00549904       0.252706    {-9.69314,-0.179391}, 
 12   -3.26036   10.6364        18.1549   -0.0380717,   0.999275      0.0115203 0.00113032.09186e-05, 0.00549341       0.886839    {-0.0494957,1.29912}, 
 13   -3.25992   10.6249        18.1474    -0.999276,  -0.038034     0.001317830.000438597  0.0115119, 0.00749121       0.235555    {-11.3319,-0.431309}, 
 14    -3.2586    10.625        18.1399   -0.0570195,   0.998373      0.01650870.001316875.01222e-05,  0.0074869       0.891034    {-0.0739907,1.29553}, 
 15   -3.25766   10.6085        18.1292    -0.998374, -0.0569974     0.001571350.000941315  0.0164818,  0.0107145       0.218866    {-13.5586,-0.774061}, 
 16   -3.25609   10.6086        18.1184   -0.0982169,   0.995165      0.0509693 0.0015688 8.9563e-05,  0.0107095       0.899154    {-0.127079,1.2876}, 
 17   -3.25108   10.5578        18.0854    -0.995165, -0.0982143     0.002760370.00500604  0.0507228,  0.0330206       0.182487    {-23.7298,-2.34192}, 
