
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
116     6.0319   6.07643        25.5183     0.128888,   0.991659      0.0599271 0.0458659 0.00530126,    0.26979       0.711486    {1.15756,8.90625}, 
117    6.02418   6.01701        25.2475     0.992288,  -0.123957      0.04566250.00772385  0.0594272,   0.270831       0.549889    {11.4828,-1.43443}, 
118    5.97887   6.02267         24.981      0.13551,   0.990776      0.0599271 0.0453103 0.00566016,   0.266556       0.714422    {1.19808,8.75966}, 
119    5.97075   5.96329        24.7139     0.991602,  -0.129326      0.04515360.00812074  0.0593743,   0.267069       0.545565    {11.4325,-1.49105}, 
120    5.92597   5.96913        24.4515      0.13997,   0.990156      0.0599271 0.0447744 0.00583955,   0.262411       0.716153    {1.2202,8.63175}, 
121    5.91758   5.90979        24.1887     0.990778,  -0.135493      0.04433030.00838801  0.0593371,   0.262766       0.540655    {11.3932,-1.55808}, 
122    5.87366    5.9158        23.9302     0.154721,   0.987958      0.0609447 0.0439215 0.00600647,   0.258558        0.72333    {1.31981,8.42752}, 
123    5.86423   5.85559        23.6682     0.988807,    -0.1492      0.04401590.00942942  0.0602108,   0.261909       0.530296    {11.4572,-1.72876}, 
124    5.82071   5.86216         23.411     0.160988,   0.986956      0.0612592 0.0435232 0.00656715,    0.25721       0.725915    {1.35212,8.2893}, 
125    5.81085    5.8017        23.1526     0.987468,  -0.157822       0.043507  0.009862  0.0604601,   0.258393       0.523529    {11.452,-1.83032}, 
126    5.76789   5.80856        22.8982     0.169651,   0.985504       0.061768 0.0429618 0.00686638,   0.254437       0.729698    {1.40046,8.13531}, 
127    5.75741   5.74769        22.6424     0.985919,  -0.167221      0.0429982  0.010479  0.0608726,   0.255832        0.51615    {11.4582,-1.94342}, 
128    5.71502   5.75488        22.3903     0.179744,   0.983713      0.0620825 0.0423928 0.00719019,   0.252076       0.734142    {1.45686,7.97317}, 
129    5.70386   5.69381        22.1364     0.984864,  -0.173329      0.0426837 0.0111589  0.0610714,    0.25394       0.511142    {11.417,-2.00931}, 
130    5.66182   5.70121        21.8877     0.180505,   0.983574       0.061768 0.0420377 0.00739833,   0.248652       0.733769    {1.44575,7.87789}, 
131    5.65067   5.64045        21.6392     0.984169,  -0.177232      0.0421749 0.0111495  0.0607534,   0.248548       0.507739    {11.3442,-2.0429}, 
132    5.60916   5.64793        21.3947     0.185641,   0.982618       0.061768 0.0415072 0.00747474,   0.244492       0.735607    {1.46483,7.7535}, 
133     5.5977   5.58723        21.1497     0.983254,  -0.182239      0.0416661 0.0114667  0.0606943,   0.244922       0.503511    {11.2874,-2.09204}, 
134    5.55673   5.59483        20.9089     0.192292,   0.981338       0.061768 0.0409684 0.00759317,   0.240812       0.738171    {1.49319,7.62027}, 
135    5.54485   5.53421         20.667     0.982488,  -0.186327      0.0408428 0.0118775  0.0606153,   0.241962       0.499947    {11.217,-2.12729}, 
