eps = 0.1
 i          x1          x2          f1          f2           a           b         b-a        отн.
 8     5.82441     5.93496   0.0308336  0.00423085     5.64553     6.11383    0.468297     1.61803
 9     5.93496     6.00328  0.00423085 1.07498e-05     5.82441     6.11383    0.289424     1.61803
10     6.00328     6.04551 1.07498e-05  0.00207071     5.93496     6.11383    0.178874     1.61803
11     5.97718     6.00328 0.000520689 1.07498e-05     5.93496     6.04551     0.11055     1.61803
12     6.00328     6.01941 1.07498e-05 0.000376659     5.97718     6.04551   0.0683236     1.61803
13     5.99331     6.00328 4.47507e-05 1.07498e-05     5.97718     6.01941   0.0422263     1.61803
14     6.00328     6.00944 1.07498e-05 8.91028e-05     5.99331     6.01941   0.0260973     1.61803
15     5.99947     6.00328 2.79688e-07 1.07498e-05     5.99331     6.00944    0.016129     1.61803
16     5.99712     5.99947  8.3062e-06 2.79688e-07     5.99331     6.00328  0.00996828     1.61803
17     5.99947     6.00093 2.79688e-07 8.56546e-07     5.99712     6.00328  0.00616074     1.61803
18     5.99857     5.99947 2.03831e-06 2.79688e-07     5.99712     6.00093  0.00380755     1.61803
19     5.99947     6.00003 2.79688e-07 7.10637e-10     5.99857     6.00093  0.00235319     1.61803
20     6.00003     6.00037 7.10637e-10 1.36888e-07     5.99947     6.00093  0.00145435     1.61803
21     5.99981     6.00003 3.44212e-08 7.10637e-10     5.99947     6.00037  0.00089884     1.61803
22     6.00003     6.00016 7.10637e-10 2.48998e-08     5.99981     6.00037 0.000555513     1.61803
23     5.99995     6.00003 2.95833e-09 7.10637e-10     5.99981     6.00016 0.000343326     1.61803
24     6.00003     6.00008 7.10637e-10 5.89032e-09     5.99995     6.00016 0.000212187     1.61803
25           6     6.00003  1.8489e-11 7.10637e-10     5.99995     6.00008 0.000131139     1.61803
26     5.99998           6 5.49099e-10  1.8489e-11     5.99995     6.00003 8.10483e-05     1.61803
27           6     6.00001  1.8489e-11 5.66225e-11     5.99998     6.00003 5.00906e-05     1.61803
28     5.99999           6  1.3475e-10  1.8489e-11     5.99998     6.00001 3.09577e-05     1.61804
29           6           6  1.8489e-11 4.68667e-14     5.99999     6.00001  1.9133e-05     1.61803
30           6           6 4.68667e-14 9.05062e-12           6     6.00001 1.18247e-05     1.61806
31           6           6  2.2739e-12 4.68667e-14           6           6 7.30831e-06     1.61798
32           6           6 4.68667e-14 1.64864e-12           6           6 4.51637e-06     1.61818
33           6           6 1.93987e-13 4.68667e-14           6           6 2.79194e-06     1.61765
34           6           6 4.68667e-14 3.93212e-13           6           6 1.72443e-06     1.61905
35           6           6 8.91637e-16 4.68667e-14           6           6 1.06751e-06     1.61538
36           6           6 3.76717e-14 8.91637e-16           6           6 6.56926e-07       1.625
37           6           6 8.91637e-16 2.73064e-15           6           6 4.10579e-07         1.6
38           6           6 1.25386e-14 8.91637e-16           6           6 2.46347e-07     1.66667
39           6           6 8.91637e-16 8.91637e-16           6           6 1.64232e-07         1.5
Result: 5.99999992908	Iter: 39	Error: 7.09182010894e-08
