
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                      grad, H1
 22    1.64332   2.67277       0.490725     0.106422,   0.322044        2.16145  0.258828   0.910724,   0.443325       0.297877    {19.511,-5.54499},  { { 0.0827131,0.271848 }, {0.271848, 0.898464} }
 23    1.41329   1.97668       0.213703    0.0890317,   0.230945         2.2043  0.230025   0.696083,   0.277022       0.217494    {12.5345,-4.14208},  { { 0.10771,0.304452 }, {0.304452, 0.86556} }
 24    1.21704   1.46761      0.0655304    0.0675145,   0.150762        2.26051  0.196253   0.509073,   0.148172       0.146458    {7.0419,-2.71471},  { { 0.155535,0.378585 }, {0.378585, 0.926505} }
 25    1.06442   1.12681     0.00797249    0.0370992,   0.072796        1.69846  0.152617     0.3408,  0.0575579      0.0744692    {2.76113,-1.23649},  { { 0.287938,0.612974 }, {0.612974, 1.30993} }
 26    1.00141   1.00317    1.40826e-05    0.0032776, 0.00691219       0.729469 0.0630114   0.123641,  0.0079584     0.00716884    {-0.136469,0.0695472},  { { 1.16157,2.32641 }, {2.32641, 4.66439} }

Eps: 1e-05
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                      grad, H1
  1         10        10         810081  0.000499986,     -89.99              1         0          0,          0       -8.64186    {360018,-18000},  { { 2.7777e-05,0.00055554 }, {0.00055554, 0.0161108} }
  2     9.9995   99.9903         80.991      20.3578,    407.137      0.01725680.000499988    89.9903,     810000        80.5167    {16.8404,0.0579343},  { { 1.13105,22.6199 }, {22.6199, 452.381} }
  3    9.64819   92.9644        76.3074      0.34418,     6.5183        1.27297  0.351311    7.02587,    4.68362        6.09344    {492.507,-24.6269},  { { 0.019899,0.383978 }, {0.383978, 7.41439} }
  4    9.21006   84.6669        69.9124     0.255215,    4.54274        2.29634   0.43813    8.29757,    6.39497        4.31327    {599.771,-31.6692},  { { 0.0155428,0.286301 }, {0.286301, 5.27869} }
  5      8.624   74.2352        60.0352     0.270939,    4.53496        1.88696  0.586059    10.4317,    9.87724          4.276    {491.968,-27.6392},  { { 0.0177688,0.306477 }, {0.306477, 5.29111} }
  6    8.11275   65.6779        52.5178     0.251684,    3.94489        2.11366   0.51125    8.55727,    7.51734        3.72358    {464.656,-27.7606},  { { 0.0176924,0.287069 }, {0.287069, 4.66284} }
  7    7.58078   57.3397        44.9557     0.251334,    3.68219        1.99483  0.531974    8.33817,    7.56214        3.46243    {402.562,-25.6834},  { { 0.0190961,0.289526 }, {0.289526, 4.39466} }
  8    7.07941   49.9944        38.4873     0.241022,    3.28897        2.06336  0.501369    7.34536,    6.46839        3.08856    {362.213,-24.7234},  { { 0.0198228,0.280668 }, {0.280668, 3.97892} }
  9    6.58209   43.2081        32.5024     0.235785,    2.98805         2.0291  0.497314    6.78631,    5.98491        2.79762    {316.237,-23.1745},  { { 0.0211198,0.278025 }, {0.278025, 3.66497} }
 10    6.10366    37.145        27.2497     0.227531,    2.66789        2.05191  0.478433    6.06306,    5.25268        2.49221    {277.922,-21.9306},  { { 0.0222909,0.272113 }, {0.272113, 3.32677} }
 11    5.63679   31.6708         22.553     0.220538,    2.38363        2.04348  0.466872    5.47426,    4.69674        2.22018    {240.662,-20.5249},  { { 0.0237813,0.268101 }, {0.268101, 3.02745} }
 12    5.18612   26.7999        18.4455     0.212466,    2.10774        2.05309  0.450666     4.8709,    4.10752        1.95778    {207.546,-19.2025},  { { 0.0253774,0.263221 }, {0.263221, 2.73519} }
 13    4.74991   22.4725         14.857     0.204531,    1.85384        2.05322  0.436212    4.32737,    3.58849        1.71667    {176.921,-17.8341},  { { 0.0272715,0.259075 }, {0.259075, 2.46616} }
 14    4.32996   18.6661        11.7683     0.196018,    1.61506        2.05962  0.419948    3.80635,    3.08869        1.49099    {149.445,-16.488},  { { 0.0294325,0.254883 }, {0.254883, 2.21227} }
 15    3.92624   15.3397        9.13498     0.187249,    1.39473        2.06354  0.403724    3.32642,    2.63331        1.28353    {124.641,-15.1275},  { { 0.0319948,0.251239 }, {0.251239, 1.97785} }
 16    3.53984   12.4616        6.92494     0.177965,    1.19108        2.07027  0.386396    2.87808,    2.21003        1.09279    {102.578,-13.7716},  { { 0.0350346,0.248034 }, {0.248034, 1.761} }
 17    3.17141   9.99577        5.10001     0.168201,    1.00482         2.0772  0.368436    2.46586,    1.82494       0.919321    {83.0548,-12.4096},  { { 0.0387308,0.245662 }, {0.245662, 1.56319} }
 18    2.82202   7.90857        3.62482     0.157798,   0.835388        2.08649  0.349387    2.08721,    1.47518       0.762618    {65.991,-11.0465},  { { 0.0433031,0.244405 }, {0.244405, 1.38443} }
 19    2.49278   6.16553        2.46256     0.146659,   0.682785         2.0978  0.329245    1.74303,    1.16226       0.622598    {51.2383,-9.67852},  { { 0.049123,0.244905 }, {0.244905, 1.22599} }
 20    2.18511   4.73319        1.57697     0.134579,   0.546608        2.11282  0.307662    1.43235,   0.885591       0.498821    {38.6698,-8.3061},  { { 0.0567788,0.248136 }, {0.248136, 1.08941} }
 21    1.90077    3.5783       0.931339     0.121288,    0.42645          2.133   0.28434    1.15489,   0.645632       0.390754    {28.1337,-6.9267},  { { 0.0673247,0.255938 }, {0.255938, 0.977959} }
 22    1.64206   2.66868       0.488921     0.106336,   0.321531        2.16187  0.258709   0.909619,   0.442418       0.297424    {19.4718,-5.53806},  { { 0.082808,0.271952 }, {0.271952, 0.898125} }
 23    1.41218   1.97358       0.212635    0.0889297,   0.230495        2.20478  0.229885   0.695108,   0.276286       0.217098    {12.5028,-4.13489},  { { 0.107877,0.304685 }, {0.304685, 0.865538} }
