  i                 x,y         f(x,y)   (s1,s2)    lambdax2-x1, y2-y1, f2-f1     angle       grad, H1
268   6.37464,  6.86325        52.7602
269  -4.34587, -4.83186        52.1969
270   6.31715,  6.80053        51.6375
271  -4.28848, -4.76925        51.0821
272   6.25985,  6.73802        50.5306
273  -4.23128, -4.70685         49.983
274   6.20275,  6.67573        49.4394
275  -4.17428, -4.64467        48.8998
276   6.14586,  6.61367        48.3641
277   -4.1175, -4.58272        47.8324
278   6.08918,  6.55184        47.3046
279  -4.06093, -4.52101        46.7808
280   6.03273,  6.49025        46.2609
281  -4.00458, -4.45955        45.7449
282    5.9765,  6.42891        45.2329
283  -3.94847, -4.39833        44.7248
284    5.9205,  6.36782        44.2207
285  -3.89259, -4.33737        43.7205
286   5.86474,  6.30699        43.2242
287  -3.83696, -4.27668        42.7318
288   5.80923,  6.24643        42.2433
289  -3.78157, -4.21626        41.7588
290   5.75397,  6.18615        41.2781
291  -3.72644, -4.15612        40.8014
292   5.69897,  6.12615        40.3285
293  -3.67157, -4.09626        39.8596
294   5.64423,  6.06644        39.3944
295  -3.61697, -4.03669        38.9332
296   5.58977,  6.00702        38.4758
297  -3.56263, -3.97742        38.0223
298   5.53557,   5.9479        37.5726
299  -3.50858, -3.91845        37.1267
300   5.48166,  5.88908        36.6847
301  -3.45481, -3.85979        36.2464
302   5.42803,  5.83058         35.812
303  -3.40133, -3.80145        35.3813
304   5.37469,  5.77239        34.9544
305  -3.34814, -3.74342        34.5313
306   5.32165,  5.71453         34.112
307  -3.29524, -3.68572        33.6963
308   5.26891,    5.657        33.2845
309  -3.24266, -3.62835        32.8763
310   5.21648,  5.59979        32.4718
311  -3.19038, -3.57132         32.071
312   5.16435,  5.54293        31.6739
313  -3.13841, -3.51462        31.2805
314   5.11254,  5.48641        30.8907
315  -3.08675, -3.45828        30.5045
316   5.06105,  5.43023        30.1219
317  -3.03542, -3.40228         29.743
318   5.00988,  5.37441        29.3677
319  -2.98442, -3.34664        28.9959
320   4.95904,  5.31895        28.6276
321  -2.93374, -3.29135         28.263
322   4.90852,  5.26384        27.9018
323  -2.88339, -3.23643        27.5442
324   4.85835,  5.20911          27.19
325  -2.83338, -3.18187        26.8393
326   4.80851,  5.15474        26.4921
327  -2.78372, -3.12769        26.1483
328   4.75901,  5.10074         25.808
329  -2.73439, -3.07388        25.4711
330   4.70986,  5.04712        25.1375
331  -2.68542, -3.02045        24.8073
332   4.66106,  4.99388        24.4805
333  -2.63679, -2.96741         24.157
334   4.61261,  4.94103        23.8368
335  -2.58852, -2.91475          23.52
336   4.56451,  4.88856        23.2064
337   -2.5406, -2.86247        22.8961
338   4.51678,  4.83648         22.589
339  -2.49304, -2.81059        22.2851
340    4.4694,   4.7848        21.9845
341  -2.44585, -2.75911         21.687
342   4.42239,  4.73351        21.3927
343  -2.39902, -2.70802        21.1015
344   4.37574,  4.68263        20.8135
345  -2.35256, -2.65733        20.5286
346   4.32946,  4.63214        20.2467
347  -2.30646, -2.60705         19.968
348   4.28356,  4.58206        19.6923
349  -2.26074, -2.55717        19.4196
350   4.23802,  4.53239        19.1499
351  -2.21539,  -2.5077        18.8832
352   4.19286,  4.48312        18.6195
353  -2.17042, -2.45864        18.3587
354   4.14808,  4.43427        18.1008
355  -2.12583,    -2.41        17.8459
356   4.10368,  4.38583        17.5938
357  -2.08162, -2.36176        17.3446
358   4.05965,   4.3378        17.0982
359  -2.03779, -2.31395        16.8547
360   4.01601,   4.2902         16.614
361  -1.99434, -2.26655         16.376
362   3.97276,  4.24301        16.1408
363  -1.95127, -2.21957        15.9084
364   3.92989,  4.19624        15.6786
365  -1.90859, -2.17301        15.4516
366    3.8874,  4.14989        15.2272
367   -1.8663, -2.12688        15.0055
368    3.8453,  4.10397        14.7864
369   -1.8244, -2.08116          14.57
370   3.80359,  4.05847        14.3561
371  -1.78289, -2.03588        14.1448
372   3.76227,  4.01339        13.9361
373  -1.74176, -1.99101        13.7299
374   3.72135,  3.96874        13.5262
375  -1.70103, -1.94658        13.3249
376   3.68081,  3.92452        13.1262
377  -1.66069, -1.90257        12.9299
378   3.64066,  3.88072         12.736
379  -1.62074, -1.85899        12.5445
380   3.60091,  3.83736        12.3554
381  -1.58118, -1.81583        12.1687
382   3.56155,  3.79442        11.9843
383  -1.54202, -1.77311        11.8022
384   3.52258,  3.75191        11.6224
385  -1.50324, -1.73081        11.4449
386   3.48401,  3.70982        11.2697
387  -1.46487, -1.68895        11.0967
388   3.44583,  3.66817        10.9259
389  -1.42688, -1.64751        10.7573
390   3.40804,  3.62695        10.5909
391  -1.38929,  -1.6065        10.4267
392   3.37064,  3.58616        10.2645
393  -1.35209, -1.56592        10.1045
394   3.33364,  3.54579        9.94662
395  -1.31529, -1.52577        9.79079
396   3.29703,  3.50586        9.63701
397  -1.27888, -1.48605        9.48526
398   3.26082,  3.46635        9.33553
399  -1.24286, -1.44676        9.18779
400     3.225,  3.42727        9.04203
401  -1.20723, -1.40789        8.89822
402   3.18957,  3.38862        8.75635
403    -1.172, -1.36945        8.61639
404   3.15453,  3.35039        8.47833
405  -1.13715, -1.33144        8.34215
406   3.11988,  3.31259        8.20782
407   -1.1027, -1.29385        8.07534
408   3.08562,  3.27522        7.94467
409  -1.06863, -1.25669         7.8158
410   3.05175,  3.23827        7.68872
411  -1.03496, -1.21995        7.56339
412   3.01826,  3.20174        7.43982
413  -1.00167, -1.18364        7.31796
414   2.98517,  3.16564        7.19781
415 -0.968763, -1.14774        7.07936
416   2.95246,  3.12995        6.96257
417 -0.936245, -1.11227        6.84743
418   2.92013,  3.09469        6.73393
419 -0.904112, -1.07721        6.62204
420   2.88819,  3.05984        6.51175
421 -0.872361, -1.04258        6.40304
422   2.85663,  3.02541        6.29589
423 -0.840992, -1.00835        6.19028
424   2.82545,   2.9914        6.08621
425 -0.810003,-0.974548        5.98364
426   2.79465,   2.9578        5.88256
427 -0.779392,-0.941155        5.78296
428   2.76423,  2.92461        5.68482
429 -0.749159,-0.908173        5.58812
430   2.73418,  2.89184        5.49284
431 -0.719301,-0.875601        5.39897
432   2.70451,  2.85947        5.30649
433 -0.689817,-0.843437        5.21539
434   2.67521,  2.82751        5.12564
435 -0.660706,-0.811679        5.03723
436   2.64629,  2.79595        4.95016
437 -0.631964,-0.780325        4.86439
438   2.61773,   2.7648        4.77991
439 -0.603592,-0.749373        4.69672
440   2.58954,  2.73405        4.61478
441 -0.575585,-0.718821         4.5341
442   2.56172,  2.70369        4.45464
443 -0.547944,-0.688666         4.3764
444   2.53426,  2.67374        4.29937
445 -0.520666,-0.658908        4.22352
446   2.50716,  2.64418        4.14884
447 -0.493748,-0.629543        4.07532
448   2.48042,  2.61501        4.00294
449 -0.467188,-0.600569        3.93168
450   2.45404,  2.58623        3.86154
451 -0.440985,-0.571984         3.7925
452   2.42802,  2.55784        3.72455
453 -0.415137,-0.543785        3.65766
454   2.40234,  2.52983        3.59183
455  -0.38964,-0.515971        3.52705
456   2.37702,  2.50221        3.46329
457 -0.364493,-0.488538        3.40055
458   2.35205,  2.47496        3.33881
459 -0.339693,-0.461484        3.27807
460   2.32742,   2.4481        3.21829
461 -0.315239,-0.434806        3.15948
462   2.30314,  2.42161        3.10162
463 -0.291127,-0.408502         3.0447
